# Tycho-2 (Hog et al. 2000, VizieR I/259/tyc2) subset for the synthetic sky renderer.
# Fetched 2026-09-09 from vizier.cds.unistra.fr. Positions are ICRS/J2000 degrees, VTmag is Tycho V.
# Two kinds of coverage:
#  1. Three 4.2 deg-radius fields spanning galactic star density -- rich (300.0,+35.0),
#     medium (83.6,+22.0), sparse north galactic pole (192.86,+27.13) -- plus a band
#     RA 100..180, Dec 35..45, for tests that fix the pointing explicitly.
#  2. A complete Dec 62..78 band at all right ascensions, VTmag < 11 (~19 stars/deg^2).
#     This is what lets the simulated mount be pointed by the session's own target
#     selection at any time of day: for a mid-northern site it picks a declination
#     around 70 deg, whose right ascension then depends on the clock.
# Committed so that every render is reproducible offline.
ra_deg,dec_deg,vtmag
1.1589190,67.9232010,10.676
1.1745713,69.6531775,10.724
1.1749172,67.1664471,5.794
1.1816799,70.4855056,7.990
1.1877909,73.1853659,9.678
1.1896743,68.0997762,10.730
1.2039598,68.1886948,9.173
1.2102637,65.8415415,8.375
1.2110060,64.6981696,10.954
1.2210177,64.9437783,10.927
1.2211678,70.8031837,8.688
1.2311473,73.7529234,10.462
1.2348970,64.7814163,8.209
1.2425052,64.5481945,10.632
1.2462852,77.5852725,10.823
1.2503936,65.4249423,7.353
1.2578544,66.5167925,8.742
1.2599640,63.0734333,10.942
1.2607563,69.1246699,9.770
1.2652064,62.0697876,9.831
1.2660013,63.5423196,10.783
1.2662546,73.7691527,10.232
1.2675325,73.0392258,10.671
1.2686248,63.3978577,10.480
1.2755114,74.1052195,10.629
1.2868179,67.8400118,7.563
1.3007445,63.0404126,10.842
1.3040847,65.8420950,10.403
1.3088629,62.6636687,10.789
1.3089281,74.1450500,9.245
1.3099733,63.9780352,10.006
1.3330180,68.8844276,7.062
1.3379756,63.5362482,10.760
1.3407127,62.5345033,9.836
1.3412518,66.5360058,10.990
1.3497344,63.7891213,9.723
1.3859864,62.4959636,10.058
1.3867494,64.5946503,10.583
1.3910476,76.2858175,8.934
1.3914375,63.8170439,9.263
1.3934332,64.0879046,9.965
1.3954422,65.6691287,10.788
1.4169033,62.5083111,10.224
1.4304328,74.5239956,10.207
1.4380521,65.3783177,9.730
1.4426991,68.2341814,10.591
1.4487176,76.8991294,10.516
1.4569765,77.3261543,10.542
1.4579761,62.9401068,10.929
1.4646740,69.8857287,8.946
1.4649713,73.0510822,10.794
1.4797622,70.0681552,10.285
1.4821334,63.5460971,10.265
1.4924215,73.5681706,10.350
1.4974126,64.7551673,10.131
1.5027544,70.0316583,10.763
1.5051118,71.7327603,10.084
1.5141064,63.6796538,7.396
1.5275236,64.4555164,10.280
1.5278101,63.5626485,10.879
1.5426789,62.0288328,10.860
1.5431768,63.7217640,10.697
1.5567081,71.5078877,10.144
1.5603676,63.3193122,10.874
1.5635795,67.7120223,10.986
1.5643506,63.3895428,8.806
1.5717190,74.0478174,9.778
1.5866273,71.1543926,10.574
1.5866622,68.6361019,8.237
1.5870811,70.9683196,9.727
1.5970931,75.6226107,10.689
1.6022958,63.5991950,10.423
1.6110642,70.1209078,9.425
1.6112134,62.5092790,10.586
1.6189033,62.3174540,10.738
1.6220795,62.1987293,9.975
1.6329505,74.5560230,10.032
1.6446892,63.0022369,9.667
1.6464649,73.9393590,10.235
1.6513563,72.0035338,10.760
1.6531164,63.2241254,8.518
1.6647920,65.2796427,10.827
1.6669549,70.1692592,8.416
1.6684367,67.1845877,10.705
1.6801844,71.3381196,10.918
1.6831411,63.6532965,10.400
1.6839722,63.9410629,10.399
1.6857557,72.8219418,10.449
1.6887016,65.2866639,10.926
1.6896701,63.5511531,10.962
1.7074883,62.3726841,10.052
1.7165200,68.8573277,10.414
1.7247700,72.2886518,10.686
1.7299904,77.2770281,9.488
1.7304255,66.4283487,8.812
1.7321397,65.3288737,8.877
1.7482307,65.5387203,10.437
1.7529670,73.5696493,10.365
1.7576955,64.7347269,8.784
1.7591927,67.7834436,10.972
1.7696570,67.2742402,8.741
1.7722168,75.9586615,10.373
1.7728578,62.3927311,9.505
1.7834269,64.5435119,10.779
1.7878704,72.7752228,8.444
1.7932218,63.1563914,9.965
1.7974766,65.6537851,10.942
1.8074751,73.2102903,7.910
1.8106974,72.0266266,9.504
1.8172266,68.5067713,9.518
1.8180090,64.1031215,10.418
1.8337388,62.6939111,10.603
1.8358985,63.6750570,10.300
1.8486966,63.1433950,10.986
1.8494638,69.2976439,9.420
1.8573628,64.0289885,10.521
1.8584943,75.7656412,10.545
1.8621607,67.5431516,8.950
1.8694496,69.0794989,7.916
1.8800038,63.6550893,10.319
1.8880998,63.0803049,10.510
1.8908707,73.7893503,10.390
1.9092903,73.8894024,9.329
1.9180607,63.1437617,10.016
1.9228052,70.6407029,10.682
1.9274559,63.3007172,10.904
1.9299815,72.0759704,10.279
1.9369752,62.3973384,9.174
1.9437841,63.3579825,8.695
1.9526454,70.6727792,10.381
1.9564517,72.6278787,10.581
1.9599059,68.7033511,9.723
1.9904330,63.6787291,10.721
1.9958503,66.6191945,10.719
2.0075899,63.3456856,8.914
2.0123310,73.5432316,9.697
2.0123577,62.8072743,10.415
2.0280981,65.4035673,9.351
2.0393146,71.8964720,10.069
2.0416909,71.1594512,8.525
2.0543682,63.2607097,10.375
2.0625884,72.6785323,10.937
2.0626783,64.0622110,10.989
2.0710203,64.0933505,10.651
2.0735987,71.2249153,10.670
2.0749445,72.3106864,10.521
2.0756892,68.2762108,10.518
2.0913052,62.3830771,8.983
2.0969763,64.1962457,10.701
2.0980166,66.5032663,9.538
2.0988660,69.0434369,10.099
2.1010992,64.1421754,10.670
2.1045355,73.8476788,10.770
2.1105552,64.2785557,10.793
2.1286535,71.9750375,8.686
2.1369142,63.2040382,6.531
2.1473418,62.3500578,9.773
2.1623911,70.4947951,10.502
2.1658437,67.2963130,8.450
2.1796525,62.4785900,10.440
2.1835104,74.2147619,7.427
